slug,maker,models,group,element,gr_target_db,burst_duty,burst_rms_below_peak_db,gr_continuous_tone_db,gr_bursts_same_peak_db,gr_tone_at_burst_rms_db,agrees_with_static
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,0.19999999999999998,-6.99,9.97,9.48,4.48,True
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,0.19999999999999998,-6.99,14.58,14.04,8.84,True
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,0.19999999999999998,-6.99,6.97,6.55,1.87,True
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,0.19999999999999998,-6.99,6.97,6.55,1.87,True
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,0.19999999999999998,-6.99,10.37,9.96,4.56,True
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,0.19999999999999998,-6.99,14.99,14.53,9.02,True
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,0.19999999999999998,-6.99,4.79,4.53,0.04,True
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,0.19999999999999998,-6.99,5.98,5.68,0.75,True
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,0.19999999999999998,-6.99,10.72,10.18,5.1,True
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,0.19999999999999998,-6.99,15.54,14.97,9.76,True
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,0.19999999999999998,-6.99,3.04,2.77,0.0,True
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,0.19999999999999998,-6.99,6.38,5.95,1.31,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,10.0,0.19999999999999998,-6.99,9.74,4.85,4.46,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,15.0,0.19999999999999998,-6.99,13.46,8.59,8.2,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,3.0,0.19999999999999998,-6.99,2.25,0.0,0.0,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,6.0,0.19999999999999998,-6.99,6.0,1.09,0.7,True
vc76,Softube,UREI 1176,fet-1176,fet,10.0,0.19999999999999998,-6.99,9.14,8.81,3.5,True
vc76,Softube,UREI 1176,fet-1176,fet,15.0,0.19999999999999998,-6.99,17.04,16.65,11.28,True
vc76,Softube,UREI 1176,fet-1176,fet,3.0,0.19999999999999998,-6.99,1.64,1.44,0.07,True
vc76,Softube,UREI 1176,fet-1176,fet,6.0,0.19999999999999998,-6.99,5.29,5.02,0.46,True
